pixel_id,lat,lon,land_cover_types,pgml_sm,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm
45_COSMOS-UK,54.2985000610352,-7.29186010360718,10.0,7.588701456856426e-80,1.146723194443118e-35,2.9758421678173893e-25,4.9908881311542974e-27,2.5642183216089995e-33,1.0016684295071717e-30,2.6716090200547264e-19,6.969650094875205e-19
48_COSMOS-UK,51.2028884887695,-2.0796000957489,9.0,4.5234372588339107e-138,9.206946365181635e-68,6.515654927796398e-113,3.099788030841021e-120,3.1448605127876824e-110,2.1904513107927856e-107,6.023296921033497e-41,2.425103525912804e-34
50_COSMOS-UK,52.020881652832,-2.66211009025574,12.0,2.646617513008917e-146,1.6866071429883525e-84,6.38926286094713e-107,1.1729319944894866e-109,2.5686653343636115e-104,3.621349831276832e-93,5.8840859534653835e-34,6.006150781621556e-37
51_COSMOS-UK,52.6101608276367,-0.8264200091362,12.0,1.3072553487942378e-109,5.353829127194426e-22,1.124364022044763e-49,2.5815409615857664e-51,1.3133440880180985e-51,3.773500495152457e-61,1.345275209190371e-37,7.241709735389987e-33
52_COSMOS-UK,52.1994094848633,-1.56307995319366,12.0,7.577423595547437e-143,1.2747045230625163e-33,1.6759278094107544e-82,1.1687765550683735e-106,4.7272160237621394e-82,1.306213302219084e-90,1.3932822150217807e-27,1.7466430197901713e-21
54_COSMOS-UK,51.5303192138672,-1.48187005519867,12.0,8.847835976700427e-80,2.6829684813273595e-21,5.558438926302973e-51,3.719693127274722e-49,1.5050057829432932e-42,4.7051685368323e-50,3.5061064278793896e-31,5.998833805624237e-22
57_COSMOS-UK,51.8394813537598,-0.948419988155365,9.0,4.158102551195714e-28,3.3839604101268755e-08,7.240159371614879e-16,2.0701481009384805e-15,3.746075715726559e-11,4.0780700302918155e-14,2.5441529956089808e-08,1.8955734606814136e-09
58_COSMOS-UK,52.1321907043457,-0.0444100014865398,12.0,1.200674030607703e-22,2.5165043328776258e-14,2.309735486820516e-18,1.8096504144565448e-17,1.6795175300539186e-15,4.005324475956507e-17,1.3148355883953295e-07,6.329807466976826e-11
61_CR-Fsc,10.4189,-85.4732,12.0,1.7335718518625371e-40,5.191805747598471e-19,5.0859648573316615e-21,1.4402806439851898e-25,9.440408837204697e-25,1.9719406577780622e-27,1.4711492549743837e-23,1.554766928950475e-14
93_CW3E,39.3405303955078,-123.16349029541,1.0,5.978747756500681e-88,4.770195776554533e-106,1.1600891504239041e-83,6.339423981564925e-98,1.910072902773291e-82,3.008031467102912e-81,6.681062073181236e-81,3.0908295464369105e-61
94_CW3E,39.2358589172363,-121.406211853027,9.0,8.078347031563951e-48,3.192535554256976e-61,7.166431572508693e-34,3.751541043606979e-23,3.969649366436266e-41,9.337702620942564e-38,6.0481988050982275e-22,2.76856331652221e-19
96_CW3E,39.1975708007812,-123.159851074219,8.0,4.179328787389617e-119,1.5267290078370858e-130,6.6431503397000985e-127,7.432628598569684e-108,6.213304226242894e-99,1.2494854401472984e-97,3.737352511105012e-77,3.02253354775187e-54
99_CW3E,39.9459686279297,-120.969718933105,1.0,2.1752941082462104e-12,3.7678557782298156e-17,4.5890483342626144e-20,8.571305848667688e-19,4.083305850739352e-09,6.114086327962001e-09,1.5363127010360312e-15,6.221154484578755e-14
108_CW3E,39.341159820556655,-123.1079711914065,1.0,1.6607571629690682e-77,6.029506220064651e-76,7.410109063455303e-81,9.501792818398974e-101,7.296578505751344e-65,5.4029568758327465e-62,1.3292959375836846e-68,2.681908747186625e-56
113_CW3E,39.2342910766602,-123.004981994629,1.0,8.055029541634381e-97,4.897488628367802e-136,9.120166608772726e-113,2.2753054162392476e-124,3.4282079509886463e-93,3.4866345872837446e-91,1.7860152795504938e-92,2.0461845758850302e-72
120_DE-HoH,52.08656,11.22235,12.0,1.1478957879348348e-145,1.7932307458151414e-55,1.7047636325260802e-88,2.3037199783834872e-39,1.343340270501688e-46,3.1054065048956557e-43,6.2980412245353996e-34,1.2169136416956372e-31
121_DE-RuW,50.50492685,6.330962475,5.0,8.656038973417906e-93,1.3131697309036678e-71,1.0147507504570693e-72,1.7146071890926659e-77,4.416155987901502e-50,5.585528313620626e-50,5.820884760613181e-44,2.146879842056665e-34
140_ES-LMa,39.94033,-5.77465,9.0,7.732107461158046e-123,8.551725698402544e-100,6.189106802197603e-86,4.389319786840118e-123,3.156712808165496e-120,2.570379549455027e-114,2.0316898554635375e-87,7.458529640431224e-80
142_FI-Var,67.7549,29.61,9.0,1.7300898838995455e-18,1.624353964817851e-23,1.1583880688923967e-15,0.0006610238093033024,1.3715315021133348e-07,9.390663771297417e-08,0.03204685402652949,0.009880762970704636
145_FLUXNET-AMERIFLUX,38.42946923895942,-120.9647132663302,10.0,4.514065751098956e-179,3.889592566141331e-130,2.2730405827432412e-141,1.3291762890281337e-98,7.58240006140576e-131,4.922600015938078e-128,2.516685746326565e-123,1.7713106543341358e-111
148_FMI,67.3694051106771,26.630790074666333,8.0,1.904622003220611e-68,6.501437592647088e-48,3.9601423178484444e-32,5.972946693556729e-25,3.2561368392399917e-47,3.958341908095529e-41,1.9871040087720375e-17,3.885536625090022e-13
151_FR-Aur,43.549649,1.106103,12.0,1.2387018642362112e-116,5.164753400192705e-93,1.5017709358149285e-84,1.066420647326707e-108,1.0770059392937361e-89,1.3500290099568513e-82,4.9301706562868465e-70,3.9815991031224745e-62
154_FR-Hes,48.6741,7.06465,5.0,1.138668625185943e-92,2.50202880236119e-56,4.894635637243657e-71,5.895339746972483e-73,2.728164622376821e-34,2.165969555136765e-33,1.7042311378006927e-24,1.3652634822430485e-20
156_FR-Lus,46.4142461,0.1206518,12.0,3.172553965127186e-31,4.0980625345346964e-23,7.296041498853322e-19,3.3526484036065354e-20,1.0386374612964385e-17,9.581860420724693e-20,5.122068928889412e-07,4.196189073662065e-09
158_FR,44.4669990539551,-0.726899981498718,8.0,1.113464660031107e-62,2.4577537482169813e-31,4.0444521503050253e-41,8.746036475135964e-84,8.711449923533324e-35,1.0351512064298493e-33,1.1400258072599665e-25,6.597126336117765e-27
159_FR,44.4816303253174,-0.762749999761581,8.0,9.126775724745777e-95,2.5865734260539786e-81,1.8351755958627914e-75,1.1470157612534885e-79,1.7196610949094854e-66,1.1959867919205279e-60,8.297903220973247e-45,3.0894686644761214e-39
161_HOAL,48.15433006286621,15.148502635955795,12.0,5.147612735903994e-63,6.225289234853171e-54,2.9494925732082626e-51,3.8228729359783213e-69,6.36573325953052e-37,1.0565457947339494e-36,1.641177773021164e-23,6.366006003554246e-24
162_HOAL,48.1580390930176,15.147310256958,12.0,1.1785850804674623e-26,2.398468671574882e-19,8.508920470173831e-16,9.690452208917108e-26,3.094478042121761e-11,6.3448387329039e-11,2.2220283868329639e-07,3.9217323229207076e-08
163_HOBE,55.980233510335296,9.184733390808104,12.0,1.9308868383351253e-38,4.857031682508925e-33,2.9293702836245904e-20,5.550380892916674e-21,1.984118624018817e-15,7.189336447332031e-15,5.554759115914858e-12,3.0366724473693195e-11
164_HOBE,56.037001037597655,9.1835599899292,12.0,9.026745437470732e-45,2.7143529393784683e-35,7.06701515484527e-32,5.1653255944991064e-39,4.9255428847152014e-32,3.667883087180475e-30,2.9452034637327633e-22,9.780870255488337e-22
165_HOBE,56.073299407959,9.33370018005371,12.0,7.87748579417294e-15,0.00034449123475463554,3.395376560317506e-06,9.689049339510634e-10,1.3908104249223964e-07,1.0086993902148929e-07,0.0007786857408912725,0.003959041539482259
