pixel_id,lat,lon,land_cover_types,valid_number
AMMA-CATCH_1,9.744685173,1.605549992,12,42
AMMA-CATCH_2,9.789859772,1.709939957,12,36
AMMA-CATCH_3,9.795060158,1.709939957,12,42
AMMA-CATCH_4,13.53250027,2.660399914,10,82
AMMA-CATCH_5,13.54800034,2.695600033,10,85
AMMA-CATCH_6,13.64560032,2.631999969,10,81
ARM_1,35.88000107,-98.17299652,12,153
ARM_2,35.86149979,-97.06950378,10,154
ARM_3,36.11660004,-97.51119995,10,169
ARM_5,36.37353897,-97.06905365,10,187
ARM_6,36.31937027,-96.76203156,10,51
ARM_7,36.43099976,-98.28399658,12,184
ARM_8,36.60593266,-97.48726652,12,180
ARM_10,36.81915012,-97.81985026,12,174
ARM_11,36.8409996,-96.42700195,10,126
ARM_12,36.92599869,-97.08200073,12,158
ARM_13,37.06940079,-97.76059723,12,170
ARM_14,37.06800079,-95.78800201,10,158
ARM_15,37.13299942,-97.26599884,12,175
ARM_16,37.21340179,-98.09690094,12,152
BE_2,50.30490112,5.9981,5,140
BIEBRZA_1,53.60578113,22.87849998,9,50
BIEBRZA_2,53.63311005,22.98067983,10,90
CA_6,55.1119,-122.8414,1,61
CH_4,47.28639984,7.733699799,9,77
COSMOS-UK_2,51.20288849,-2.079600096,9,124
COSMOS-UK_4,51.53031921,-1.481870055,12,55
COSMOS-UK_5,51.70801926,-1.478770018,12,53
COSMOS-UK_9,52.02088165,-2.66211009,12,122
COSMOS-UK_10,52.19940948,-1.563079953,12,103
COSMOS-UK_12,52.09465027,0.993070006,12,119
COSMOS-UK_13,52.33639145,0.795920014,12,174
COSMOS-UK_14,52.61016083,-0.826420009,12,153
COSMOS-UK_15,52.61777115,0.510730028,12,150
COSMOS-UK_18,54.29850006,-7.291860104,10,83
CW3E_5,39.1975708,-123.1598511,8,179
CW3E_9,39.23429108,-123.004982,1,165
CW3E_10,39.23585892,-121.4062119,9,71
CW3E_11,39.3405304,-123.1634903,1,154
CW3E_12,39.34115982,-123.1079712,1,172
CW3E_16,39.94596863,-120.9697189,1,53
CZ_1,48.681611,16.946416,12,76
CZ_2,49.02470016,14.77040005,1,120
CZ_3,49.035975,17.96990013,4,97
CZ_4,49.4437236,16.6965125,12,88
CZ_5,49.5021,18.5369,5,98
CZ_6,49.57325745,15.078773,12,132
DE_1,50.50490703,6.33101886,5,124
DE_3,50.7867012,13.72130013,1,119
DE_7,51.07920074,10.45219994,4,132
DE_9,52.085306,11.21922207,12,151
