pixel_id,lat,lon,land_cover_types,pgml_sm,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm
AMMA-CATCH_1,9.744685173,1.605549992,12,9.24119868309488e-18,9.85903751952661e-16,4.0377974918339475e-18,2.2607907673038462e-20,2.053354869468388e-17,1.3685189989979013e-17,1.3481769797519254e-16,1.1130990886770044e-15
AMMA-CATCH_2,9.789859772,1.709939957,12,6.106728457517662e-14,1.195767095857114e-15,7.009562573684409e-18,2.7563410075416313e-18,1.4267320641200296e-15,1.5503576457077996e-15,7.891507029298823e-15,1.971631986518759e-14
AMMA-CATCH_3,9.795060158,1.709939957,12,1.5432835668052195e-17,1.5259242234425055e-19,1.3011995381486982e-21,5.295929156708297e-22,2.0365824403624916e-18,2.468861786404772e-18,7.169041218188537e-18,1.0608747423198471e-16
AMMA-CATCH_4,13.53250027,2.660399914,10,1.688892193626331e-24,1.1365501152829843e-14,9.405424222707556e-29,2.0041048975913968e-23,1.942542672421134e-23,4.606354181156351e-24,3.1879848980077187e-22,5.790337039385157e-23
AMMA-CATCH_5,13.54800034,2.695600033,10,1.8609419313639366e-29,5.146230793481211e-17,3.26438468344434e-36,2.9500561012052783e-28,1.0341300178160825e-30,1.5308524566772393e-30,2.3402827626910827e-27,5.49189961941881e-28
AMMA-CATCH_6,13.64560032,2.631999969,10,2.596358952432531e-22,1.2678859631539463e-13,4.460239269977788e-26,2.306765825055039e-20,9.521108806528625e-21,1.7553817971459794e-20,2.551422825839931e-19,2.361751929535506e-19
ARM_1,35.88000107,-98.17299652,12,3.1876033585301975e-30,1.5964160172469356e-26,4.0684228969498704e-23,5.187501640887038e-30,9.189059583211615e-31,8.044773621893415e-31,8.724986129372169e-32,3.8421420964216573e-32
ARM_2,35.86149979,-97.06950378,10,7.332722169658357e-38,1.0684747887756857e-29,3.061014412320551e-32,5.701787917895817e-45,9.319651067407366e-41,1.0741300609045373e-41,1.6176998418592543e-45,5.6182994150307294e-43
ARM_3,36.11660004,-97.51119995,10,4.5215261438269624e-52,5.157482605777971e-38,3.2376474082275695e-44,4.943277231794736e-53,4.48559629166349e-47,9.989965497815665e-50,2.0279390654971813e-56,1.595311475918999e-52
ARM_5,36.37353897,-97.06905365,10,2.5964840044311963e-49,8.447242512586723e-44,4.644564650341752e-42,8.174274395481587e-56,1.0967887863736285e-50,1.4429088955743234e-51,2.5441680526673562e-51,1.056694439128632e-49
ARM_6,36.31937027,-96.76203156,10,2.748008396790621e-16,1.206727752295342e-14,3.6257970864080626e-09,9.632880870796107e-21,2.6696115654970334e-18,2.0357748704578663e-17,1.011109827949858e-21,2.37648750052925e-21
ARM_7,36.43099976,-98.28399658,12,4.150882018545659e-28,3.530073142740576e-15,3.2269944980718146e-26,1.4400981546106244e-37,7.817062815852884e-35,2.4012457770650937e-36,2.2191147147714614e-32,3.4113228550475433e-33
ARM_8,36.60593266,-97.48726652,12,3.9968797923909446e-50,6.454468195112663e-49,1.7933393144963217e-51,1.0139246793735686e-56,1.6518116089917065e-53,6.510756402728465e-56,3.891506463199276e-56,9.038934683404497e-57
ARM_10,36.81915012,-97.81985026,12,7.924029563574044e-50,7.5472064108699e-36,8.733532228501021e-33,2.009066895785836e-43,2.0036533638781946e-41,1.3629309315505615e-47,2.2162931275012925e-45,1.350675391753604e-45
ARM_11,36.8409996,-96.42700195,10,4.3630188827446836e-15,5.373916975521715e-28,2.9499585659737776e-31,1.1863626778097591e-39,2.4045269158175588e-36,5.918377202594171e-42,4.1332418761155715e-39,1.584459310076067e-39
ARM_12,36.92599869,-97.08200073,12,9.014192923009954e-40,5.860394979827642e-29,4.626104412319798e-40,2.2024024179293479e-41,9.77884213765279e-40,1.9578183974690738e-44,2.2511958737656993e-42,2.0871578052624712e-42
ARM_13,37.06940079,-97.76059723,12,1.693676729212301e-32,1.7626850399905533e-25,4.3493985789740343e-13,9.894186251764874e-22,3.123504423081707e-21,2.63655396287908e-24,2.787069344068115e-20,4.138051359591522e-19
