date,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm,mcd12c1_IGBP_land_cover,soilgrid_clay_fraction,soilgrid_bulk_density,era5_surface_temperature,vwc_mod13_sf_land,smap_tb_v_corrected,smap_tb_h_corrected,era5_prep,era5_evap,koppen_climate_5_types,pgml_sm,insitu_sm
20190429.0,0.3627485036849975,,,,,,0.1670278012752533,,,,,,,,,,,,
20190512.0,0.426696240901947,0.34505695104599,0.3402203023433685,,,,0.1987670511007309,9.0,0.2905327081680298,1.3578726053237915,285.2079162597656,3.224096775054932,259.82586669921875,246.46847534179688,34.96437454223633,1.476677417755127,300.0,0.2573194503784179,0.37167
20190514.0,0.4194062352180481,0.3141595721244812,0.3387949168682098,,,0.1624487191438675,0.2405163794755935,9.0,0.2905327081680298,1.3578726053237915,283.6937561035156,3.211406707763672,254.19305419921875,243.78500366210932,0.4447500705718994,3.297360897064209,300.0,0.2449142187833786,0.37125
20190515.0,0.4039935767650604,,,,,,,,,,,,,,,,,,
20190516.0,0.3880979418754577,0.2855963110923767,,,,,0.4196600317955017,,,,,,,,,,,,
20190524.0,0.3244460821151733,0.2811655104160309,,,,0.1501209288835525,0.2544328272342682,,,,,,,,,,,,
20190525.0,0.3094922602176666,0.2717305123806,0.3267696499824524,,,,,9.0,0.2905327081680298,1.3578726053237915,294.3025207519531,3.1452441215515137,264.38238525390625,251.3763427734375,0.918588161468506,4.390031337738037,300.0,0.2254522293806076,0.35191
20190526.0,0.3080469071865082,0.2916298806667328,,,,,,,,,,,,,,,,,
20190527.0,0.3424630165100097,0.2914094626903534,0.323300838470459,,,0.1363832652568817,0.2222357839345932,9.0,0.2905327081680298,1.3578726053237915,295.1419982910156,3.15755295753479,265.9365234375,255.80377197265625,4.304056167602539,4.90228796005249,300.0,0.2493800669908523,0.35249
20190528.0,0.3457222878932953,0.2802813649177551,,,,,,9.0,0.2905327081680298,1.3578726053237915,294.85748291015625,3.1637423038482666,262.8256225585937,255.4530487060547,4.311379432678223,5.089919567108154,300.0,0.2717845439910888,0.35418
20190529.0,0.3425667285919189,0.2842626869678497,,,,0.1440955400466919,0.2209234833717346,,,,,,,,,,,,
20190530.0,0.3492182791233063,0.2779313027858734,0.3321031928062439,,,,0.1439252942800521,9.0,0.2905327081680298,1.3578726053237915,296.2042541503906,3.177241086959839,265.5043334960937,253.41586303710932,4.364251136779785,4.171975135803223,300.0,0.2493418157100677,0.35286
20190531.0,0.36416757106781,0.273567646741867,,,,,,,,,,,,,,,,,
20190601.0,0.3349799215793609,0.2767095863819122,,,,0.1366799771785736,0.191534161567688,,,,,,,,,,,,
20190602.0,0.3195708096027374,0.2654950320720672,0.3127785325050354,,,,,9.0,0.2905327081680298,1.3578726053237915,294.5860900878906,3.197587490081787,266.4710388183594,254.0855407714844,2.756594657897949,4.860586166381836,300.0,0.234217882156372,0.34063
20190605.0,0.293476939201355,0.2502347528934479,0.3010377585887909,,,,,9.0,0.2905327081680298,1.3578726053237915,293.0395812988281,3.21817684173584,265.7633056640625,253.15289306640625,4.333715915679932,3.433533430099488,300.0,0.206753522157669,0.33153
20220421.0,0.3938305675983429,0.3119556307792663,,,,,,,,,,,,,,,,,
20220422.0,0.3912830948829651,0.3163252770900726,,,,0.1617316603660583,0.2382885217666626,,,,,,,,,,,,
20220423.0,0.373649001121521,0.320382684469223,0.3188944160938263,,,,,9.0,0.2905327081680298,1.3578726053237915,288.1714172363281,2.9270577430725098,252.1298370361328,237.7176818847656,0.0067653660662472,3.183746576309204,300.0,0.2429480850696563,0.2026
20220424.0,0.3628263473510742,0.3103076815605163,,,,0.192226231098175,0.2528763711452484,,,,,,,,,,,,
20220425.0,0.359809935092926,0.3340861797332763,0.3026503324508667,,,,0.1897946149110794,9.0,0.2905327081680298,1.3578726053237915,291.73858642578125,2.944121837615967,257.6017150878906,244.00393676757807,0.0070897825062274,3.4983468055725098,300.0,0.2125373780727386,0.1821
20220426.0,0.3565202057361603,0.3144857287406921,0.3032296895980835,,,,,9.0,0.2905327081680298,1.3578726053237915,288.72564697265625,2.952745199203491,258.516845703125,244.48928833007807,4.050271987915039,2.033238887786865,300.0,0.225144624710083,0.18586
20220427.0,0.3693624436855316,,,,,0.1069502457976341,0.1475264728069305,,,,,,,,,,,,
