pixel_id,lat,lon,land_cover_types,koppen_climate_5_types,valid_number,site_number,site_ids,source_number,source_ids
1_AMMA-CATCH,13.5325002670288,2.66039991378784,10.0,200.0,1361,1,['AMMA-CATCH_Banizoumbou'],1,['ismn']
2_AMMA-CATCH,9.79506015777588,1.70993995666504,12.0,100.0,930,1,['AMMA-CATCH_Belefoungou-Mid'],1,['ismn']
3_AMMA-CATCH,9.78985977172852,1.70993995666504,12.0,100.0,923,1,['AMMA-CATCH_Belefoungou-Top'],1,['ismn']
4_AMMA-CATCH,9.74468517303467,1.6055499911308302,12.0,100.0,987,2,"['AMMA-CATCH_Nalohou-Mid', 'AMMA-CATCH_Nalohou-Top']",1,"['ismn', 'ismn']"
5_AMMA-CATCH,13.5480003356934,2.6956000328064,10.0,200.0,1357,1,['AMMA-CATCH_Tondikiboro'],1,['ismn']
6_AMMA-CATCH,13.6456003189087,2.63199996948242,10.0,200.0,1281,1,['AMMA-CATCH_Wankama'],1,['ismn']
7_ARM,37.2134017944336,-98.0969009399414,12.0,300.0,1887,1,['ARM_Anthony'],1,['ismn']
8_ARM,37.132999420166,-97.265998840332,12.0,300.0,2221,1,['ARM_Ashton'],1,['ismn']
9_ARM,36.8810005187988,-98.2850036621094,10.0,300.0,1996,1,['ARM_Byron'],1,['ismn']
10_ARM,36.6049995422363,-97.4850006103516,12.0,300.0,2722,1,['ARM_Lamont-CF1'],1,['ismn']
11_ARM,37.0694007873535,-97.7605972290039,12.0,300.0,2165,1,['ARM_MapleCity'],1,['ismn']
12_ARM,36.1166000366211,-97.5111999511719,10.0,300.0,2251,1,['ARM_Marshall'],1,['ismn']
13_ARM,36.8190002441406,-97.8199005126953,12.0,300.0,2380,1,['ARM_Medford'],1,['ismn']
14_ARM,36.3735389709473,-97.0690536499023,10.0,300.0,2664,1,['ARM_Morrison'],1,['ismn']
15_ARM,36.9259986877441,-97.0820007324219,12.0,300.0,2474,1,['ARM_Newkirk'],1,['ismn']
16_ARM,35.8800010681152,-98.1729965209961,12.0,300.0,1811,1,['ARM_Omega'],1,['ismn']
17_ARM,36.8409996032715,-96.427001953125,10.0,300.0,2617,1,['ARM_Pawhuska'],1,['ismn']
18_ARM,36.3193702697754,-96.7620315551758,10.0,300.0,891,1,['ARM_Pawnee'],1,['ismn']
19_ARM,36.4309997558594,-98.2839965820312,12.0,300.0,2230,1,['ARM_Ringwood'],1,['ismn']
20_ARM,35.861499786377,-97.0695037841797,10.0,300.0,2142,1,['ARM_Tryon'],1,['ismn']
21_ARM,37.068000793457,-95.7880020141602,10.0,300.0,2461,1,['ARM_Tyro'],1,['ismn']
22_ARM,36.3110008239746,-97.9280014038086,12.0,300.0,2834,1,['ARM_Waukomis'],1,['ismn']
23_Ali,33.39058,79.70346,16.0,200.0,222,1,['Ali_Ali'],1,['collected']
24_Ali,33.43386447875975,79.7465986291504,16.0,200.0,760,2,"['Ali_Ali01', 'NGARI_ALI01']",2,"['collected', 'ismn']"
25_Ali,33.45570778289795,79.63139618286132,16.0,200.0,719,4,"['Ali_Ali02', 'Ali_Ali03', 'NGARI_ALI02', 'NGARI_ALI03']",2,"['collected', 'collected', 'ismn', 'ismn']"
26_BE-Bra,51.30761,4.51984,9.0,300.0,1603,1,['BE-Bra'],1,['fluxnet']
27_BE-Maa,50.979868,5.631851,9.0,300.0,1868,1,['BE-Maa'],1,['fluxnet']
28_BE-Vie,50.30493,5.99812,5.0,300.0,3178,1,['BE-Vie'],1,['fluxnet']
31_Berlin,52.431468963623,13.1213502883911,5.0,300.0,649,1,['Berlin_PSA18Pfaueninsel'],1,['ismn']
32_Berlin,52.421028137207,13.6476001739502,1.0,300.0,1208,1,['Berlin_PSA8MueggelOst'],1,['ismn']
33_Berlin,52.5231513977051,13.143159866333,5.0,300.0,645,1,['Berlin_PflABerlin9'],1,['ismn']
34_CA-Cbo,44.3184,-79.9341,12.0,400.0,1173,1,['CA-Cbo'],1,['fluxnet']
35_CA-LP1,55.1119,-122.8414,1.0,400.0,1815,1,['CA-LP1'],1,['fluxnet']
36_CA-TP1,42.66093611,-80.55951944,12.0,400.0,2442,1,['CA-TP1'],1,['fluxnet']
37_CA-TPD,42.635328,-80.557731,12.0,400.0,2683,1,['CA-TPD'],1,['fluxnet']
38_CD-Ygb,0.814444,24.502472,2.0,100.0,955,1,['CD-Ygb'],1,['fluxnet']
39_COSMOS-UK,51.7080192565918,-1.4787700176239,12.0,300.0,910,1,['COSMOS-UK_ChimneyMeadows'],1,['ismn']
40_COSMOS-UK,55.9414215087891,-4.40354013442993,9.0,300.0,1054,1,['COSMOS-UK_Cochno'],1,['ismn']
41_COSMOS-UK,51.951358795166,-4.74658012390137,9.0,300.0,1953,1,['COSMOS-UK_CwmGarw'],1,['ismn']
42_COSMOS-UK,52.0946502685547,0.993070006370544,12.0,300.0,1734,1,['COSMOS-UK_Elmsett'],1,['ismn']
43_COSMOS-UK,52.3363914489746,0.795920014381409,12.0,300.0,2126,1,['COSMOS-UK_Euston'],1,['ismn']
44_COSMOS-UK,52.6177711486816,0.510730028152466,12.0,300.0,1825,1,['COSMOS-UK_Fincham'],1,['ismn']
45_COSMOS-UK,54.2985000610352,-7.29186010360718,10.0,300.0,1279,1,['COSMOS-UK_Fivemiletown'],1,['ismn']
46_COSMOS-UK,54.8380889892578,-6.00460004806519,9.0,300.0,1554,1,['COSMOS-UK_Glenwherry'],1,['ismn']
47_COSMOS-UK,51.2285614013672,0.320179998874664,9.0,300.0,1515,1,['COSMOS-UK_Hadlow'],1,['ismn']
48_COSMOS-UK,51.2028884887695,-2.0796000957489,9.0,300.0,1688,1,['COSMOS-UK_Heytesbury'],1,['ismn']
49_COSMOS-UK,54.4469985961914,-6.06839990615845,9.0,300.0,870,1,['COSMOS-UK_Hillsborough'],1,['ismn']
50_COSMOS-UK,52.020881652832,-2.66211009025574,12.0,300.0,1522,1,['COSMOS-UK_HolmeLacy'],1,['ismn']
