pixel_id,lat,lon,land_cover_types,koppen_climate_5_types,valid_number,site_number,site_ids
AMMA-CATCH_1,9.744685173,1.605549992,12,100,42.0,2,"['AMMA-CATCH_Nalohou-Mid', 'AMMA-CATCH_Nalohou-Top']"
AMMA-CATCH_2,9.789859772,1.709939957,12,100,36.0,1,['AMMA-CATCH_Belefoungou-Top']
AMMA-CATCH_3,9.795060158,1.709939957,12,100,42.0,1,['AMMA-CATCH_Belefoungou-Mid']
AMMA-CATCH_4,13.53250027,2.660399914,10,200,82.0,1,['AMMA-CATCH_Banizoumbou']
AMMA-CATCH_5,13.54800034,2.695600033,10,200,85.0,1,['AMMA-CATCH_Tondikiboro']
AMMA-CATCH_6,13.64560032,2.631999969,10,200,81.0,1,['AMMA-CATCH_Wankama']
ARM_1,35.88000107,-98.17299652,12,300,153.0,1,['ARM_Omega']
ARM_2,35.86149979,-97.06950378,10,300,154.0,1,['ARM_Tryon']
ARM_3,36.11660004,-97.51119995,10,300,169.0,1,['ARM_Marshall']
ARM_5,36.37353897,-97.06905365,10,300,187.0,1,['ARM_Morrison']
ARM_6,36.31937027,-96.76203156,10,300,51.0,1,['ARM_Pawnee']
ARM_7,36.43099976,-98.28399658,12,300,184.0,1,['ARM_Ringwood']
ARM_8,36.60593266,-97.48726652,12,300,180.0,3,"['ARM_Lamont-CF1', 'ARM_Lamont-CF2', 'US-ARM']"
ARM_10,36.81915012,-97.81985026,12,300,174.0,2,"['ARM_Medford', 'US-A32']"
ARM_11,36.8409996,-96.42700195,10,300,126.0,1,['ARM_Pawhuska']
ARM_12,36.92599869,-97.08200073,12,300,158.0,1,['ARM_Newkirk']
ARM_13,37.06940079,-97.76059723,12,300,170.0,1,['ARM_MapleCity']
ARM_14,37.06800079,-95.78800201,10,300,158.0,1,['ARM_Tyro']
ARM_15,37.13299942,-97.26599884,12,300,175.0,1,['ARM_Ashton']
ARM_16,37.21340179,-98.09690094,12,300,152.0,1,['ARM_Anthony']
BE_2,50.30490112,5.9981,5,300,140.0,1,['BE-Vie']
BIEBRZA_1,53.60578113,22.87849998,9,400,50.0,9,"['BIEBRZA_S-1_marshland-soil-11', 'BIEBRZA_S-1_marshland-soil-12', 'BIEBRZA_S-1_marshland-soil-13', 'BIEBRZA_S-1_marshland-soil-14', 'BIEBRZA_S-1_marshland-soil-15', 'BIEBRZA_S-1_marshland-soil-16', 'BIEBRZA_S-1_marshland-soil-17', 'BIEBRZA_S-1_marshland-soil-18', 'BIEBRZA_S-1_marshland-soil-19']"
BIEBRZA_2,53.63311005,22.98067983,10,400,90.0,9,"['BIEBRZA_S-1_grassland-soil-1', 'BIEBRZA_S-1_grassland-soil-2', 'BIEBRZA_S-1_grassland-soil-3', 'BIEBRZA_S-1_grassland-soil-4', 'BIEBRZA_S-1_grassland-soil-5', 'BIEBRZA_S-1_grassland-soil-6', 'BIEBRZA_S-1_grassland-soil-7', 'BIEBRZA_S-1_grassland-soil-8', 'BIEBRZA_S-1_grassland-soil-9']"
CA_6,55.1119,-122.8414,1,400,61.0,1,['CA-LP1']
CH_4,47.28639984,7.733699799,9,300,77.0,1,['CH-Oe2']
COSMOS-UK_2,51.20288849,-2.079600096,9,300,124.0,1,['COSMOS-UK_Heytesbury']
COSMOS-UK_4,51.53031921,-1.481870055,12,300,55.0,1,['COSMOS-UK_Sheepdrove']
COSMOS-UK_5,51.70801926,-1.478770018,12,300,53.0,1,['COSMOS-UK_ChimneyMeadows']
COSMOS-UK_9,52.02088165,-2.66211009,12,300,122.0,1,['COSMOS-UK_HolmeLacy']
COSMOS-UK_10,52.19940948,-1.563079953,12,300,103.0,1,['COSMOS-UK_MoretonMorrell']
COSMOS-UK_12,52.09465027,0.993070006,12,300,119.0,1,['COSMOS-UK_Elmsett']
COSMOS-UK_13,52.33639145,0.795920014,12,300,174.0,1,['COSMOS-UK_Euston']
COSMOS-UK_14,52.61016083,-0.826420009,12,300,153.0,1,['COSMOS-UK_Loddington']
COSMOS-UK_15,52.61777115,0.510730028,12,300,150.0,1,['COSMOS-UK_Fincham']
COSMOS-UK_18,54.29850006,-7.291860104,10,300,83.0,1,['COSMOS-UK_Fivemiletown']
CW3E_5,39.1975708,-123.1598511,8,300,179.0,1,['CW3E_Deerwood']
CW3E_9,39.23429108,-123.004982,1,300,165.0,1,['CW3E_WindyGap']
CW3E_10,39.23585892,-121.4062119,9,300,71.0,1,['CW3E_BrownsValleySchool']
CW3E_11,39.3405304,-123.1634903,1,300,154.0,1,['CW3E_BoyesCreekCanyon']
CW3E_12,39.34115982,-123.1079712,1,300,172.0,2,"['CW3E_PotterValleyCentral', 'CW3E_PotterValleyNorth']"
CW3E_16,39.94596863,-120.9697189,1,400,53.0,1,['CW3E_FeatherRiverCollege']
CZ_1,48.681611,16.946416,12,400,76.0,1,['CZ-Lnz']
